"Issue ID","Issue Type","Summary","Epic Name","Epic Link","Parent ID","Description","Story Points","Priority","MoSCoW","Components","Labels"
"EPIC-AUTH","Epic","Authentication & RBAC","Authentication & RBAC","","","Scope: Login, registration, JWT, role-based authorization (platform_admin, admin, worker). Outcomes: secure access and correct role routing.","","High","Must","Frontend;Backend;Security","area:auth,rbac"
"EPIC-WORKSPACE","Epic","Workspace Shell & Navigation","Workspace Shell & Navigation","","","Scope: Layout shell, protected routes, role-based menus, theming.","","High","Must","Frontend","area:workspace"
"EPIC-FIELDS","Epic","Field Management & History","Field Management & History","","","Scope: Field CRUD, archive, history lifecycle with active flag, history timeline.","","High","Must","Frontend;Backend;Database","area:fields"
"EPIC-TASKS","Epic","Task Management & Assignment","Task Management & Assignment","","","Scope: Task CRUD, status transitions, priorities, multi-worker assignment, completion flow.","","High","Must","Frontend;Backend;Database","area:tasks"
"EPIC-WORKERS","Epic","Worker Management","Worker Management","","","Scope: Invite/join via code, list, deactivate/reactivate, farm scoping.","","High","Must","Frontend;Backend","area:workers"
"EPIC-NOTIFS","Epic","Notifications","Notifications","","","Scope: In-app notifications, read/unread, event triggers for assignments and status updates.","","Medium","Should","Frontend;Backend","area:notifications"
"EPIC-ANALYTICS","Epic","Analytics & Dashboard","Analytics & Dashboard","","","Scope: KPIs, charts, recent activity. Admin-focused; platform analytics later.","","Medium","Should","Frontend;Backend","area:analytics"
"EPIC-WEATHER","Epic","Weather Integration","Weather Integration","","","Scope: Weather by farm location with forecast and fallbacks.","","Low","Could","Frontend;Backend","area:weather"
"EPIC-ADMIN","Epic","Platform Admin","Platform Admin","","","Scope: Platform-wide farm/user visibility and management for platform_admin.","","Medium","Should","Frontend;Backend","area:platform-admin"
"EPIC-DEVOPS","Epic","DevOps & Security","DevOps & Security","","","Scope: CI/CD, lint/test/build gates, security headers, rate limiting, logging.","","High","Must","DevOps;Security","area:devops,security"
"EPIC-QA","Epic","QA & Test Automation","QA & Test Automation","","","Scope: Unit/integration/e2e baselines; coverage and pipelines.","","High","Must","QA","area:qa"
"EPIC-DOCS","Epic","Documentation & UX","Documentation & UX","","","Scope: Runbooks, API docs, ERD, ADRs, user guides, contribution guidelines.","","High","Must","Documentation","area:docs"

"STORY-AUTH-LOGIN","Story","User can log in","","EPIC-AUTH","","As a user, I want to log in so that I can access my workspace.\nAcceptance: valid creds issue JWT; role redirect (platform_admin -> /admin/dashboard, others -> /dashboard); token persisted; unauthorized shows error; protected routes redirect to /login.","5","High","Must","Frontend;Backend;Security","area:auth,role:user"
"SUB-AUTH-LOGIN-FE","Sub-task","FE: Login page + flow","","","STORY-AUTH-LOGIN","Build (auth)/login with RHF+zod, wire useAuth.login, handle success/error toasts, route on success.","2","High","Must","Frontend","area:auth,fe"
"SUB-AUTH-LOGIN-BE","Sub-task","BE: POST /auth/login","","","STORY-AUTH-LOGIN","Implement controller/service: validate email+password, bcrypt compare, sign JWT, return role and farm info.","2","High","Must","Backend;Security","area:auth,be"
"SUB-AUTH-LOGIN-DB","Sub-task","DB: Seed platform admin","","","STORY-AUTH-LOGIN","Seed one platform_admin user for dev; ensure indexes on users(email,role).", "1","High","Must","Database","area:auth,db"
"SUB-AUTH-LOGIN-TEST","Sub-task","Tests: login success/failure","","","STORY-AUTH-LOGIN","Supertest API tests; FE component test of form validation and redirect.","1","High","Must","QA","area:auth,tests"
"SUB-AUTH-LOGIN-DOCS","Sub-task","Docs: Auth flow","","","STORY-AUTH-LOGIN","Document login API, response shape, error codes, and FE usage.","-","Medium","Must","Documentation","area:docs,auth"

"STORY-AUTH-REGISTER-ADMIN","Story","Admin can register farm","","EPIC-AUTH","","As an admin, I want to register my farm so that I can set up workers.\nAcceptance: creates Farm, joinCode, and admin user; redirects to dashboard; duplicate emails rejected.","8","High","Must","Frontend;Backend;Database","area:auth,role:admin"
"SUB-AUTH-REG-FE","Sub-task","FE: Register admin form","","","STORY-AUTH-REGISTER-ADMIN","Build (auth)/register with farmName, admin user data, RHF+zod; handle success redirect.","2","High","Must","Frontend","area:auth,fe"
"SUB-AUTH-REG-BE","Sub-task","BE: POST /auth/register-admin","","","STORY-AUTH-REGISTER-ADMIN","Create farm with joinCode, create admin user, return token + farm info; handle duplicates.","3","High","Must","Backend","area:auth,be"
"SUB-AUTH-REG-DB","Sub-task","DB: Farm indexes","","","STORY-AUTH-REGISTER-ADMIN","Ensure unique joinCode; index farms(joinCode), users(farmId).", "1","High","Must","Database","area:auth,db"
"SUB-AUTH-REG-TEST","Sub-task","Tests: register admin","","","STORY-AUTH-REGISTER-ADMIN","API happy/edge paths; FE validation tests.","1","Medium","Must","QA","area:auth,tests"
"SUB-AUTH-REG-DOCS","Sub-task","Docs: register admin","","","STORY-AUTH-REGISTER-ADMIN","Document request/response, joinCode, and redirects.","-","Medium","Must","Documentation","area:docs,auth"

"STORY-AUTH-WORKER-JOIN","Story","Worker can join via code","","EPIC-AUTH","","As a worker, I want to join a farm with a code so that I can be assigned tasks.\nAcceptance: code validation, worker linked to farm, limited permissions.","5","Medium","Should","Frontend;Backend","area:auth,role:worker"
"SUB-AUTH-JOIN-FE","Sub-task","FE: Join flow","","","STORY-AUTH-WORKER-JOIN","Add join code field (login/register or settings) with validation; success shows worker workspace.","2","Medium","Should","Frontend","area:auth,fe"
"SUB-AUTH-JOIN-BE","Sub-task","BE: POST /farm/join","","","STORY-AUTH-WORKER-JOIN","Validate joinCode, link user to farm; return farm info.","2","Medium","Should","Backend","area:auth,be"
"SUB-AUTH-JOIN-TEST","Sub-task","Tests: join code","","","STORY-AUTH-WORKER-JOIN","API tests for invalid/expired code; FE flow test.","1","Medium","Should","QA","area:auth,tests"
"SUB-AUTH-JOIN-DOCS","Sub-task","Docs: join flow","","","STORY-AUTH-WORKER-JOIN","Explain join code lifecycle and limitations.","-","Low","Should","Documentation","area:docs,auth"

"STORY-WS-SHELL","Story","Workspace shell + route guard","","EPIC-WORKSPACE","","As an admin/worker, I want a workspace shell so that I can navigate modules.\nAcceptance: (workspace)/layout.tsx with sidebar/topbar; protected routes; role-based menu visibility; mobile responsive.","5","High","Must","Frontend","area:workspace,ui"
"SUB-WS-SHELL-LAYOUT","Sub-task","Layout and navigation","","","STORY-WS-SHELL","Implement layout with links to dashboard, fields, tasks, workers, notifications, analytics, weather, profile, settings.","2","High","Must","Frontend","area:workspace,fe"
"SUB-WS-SHELL-GUARD","Sub-task","Route protection","","","STORY-WS-SHELL","Middleware + client hook to redirect unauthenticated users to /login; role redirects.","2","High","Must","Frontend;Security","area:workspace,auth"
"SUB-WS-SHELL-TEST","Sub-task","Tests: shell and guard","","","STORY-WS-SHELL","Component tests for nav; e2e check redirects.","1","Medium","Must","QA","area:workspace,tests"

"STORY-FIELDS-CRUD","Story","Field CRUD + archive","","EPIC-FIELDS","","As an admin, I want to create/edit/archive fields so that I can manage plots.\nAcceptance: create with name/size/crop/status; edit updates; archive sets active=false; validations; UI modals.","8","High","Must","Frontend;Backend;Database","area:fields,role:admin"
"SUB-FIELDS-CRUD-FE","Sub-task","FE: field modals","","","STORY-FIELDS-CRUD","Create Add/Edit/Archive modals; list and detail views; validations.","3","High","Must","Frontend","area:fields,fe"
"SUB-FIELDS-CRUD-BE","Sub-task","BE: /fields CRUD","","","STORY-FIELDS-CRUD","Implement routes/services for create/read/update/archive (active=false).","3","High","Must","Backend","area:fields,be"
"SUB-FIELDS-CRUD-DB","Sub-task","DB: fields indices","","","STORY-FIELDS-CRUD","Ensure indices on (farmId,active), status; migration tested.","1","High","Must","Database","area:fields,db"
"SUB-FIELDS-CRUD-TEST","Sub-task","Tests: field CRUD","","","STORY-FIELDS-CRUD","API tests; FE component tests for forms and list updates.","1","Medium","Must","QA","area:fields,tests"
"SUB-FIELDS-CRUD-DOCS","Sub-task","Docs: fields API","","","STORY-FIELDS-CRUD","Document endpoints and history notes.","-","Medium","Must","Documentation","area:docs,fields"

"STORY-FIELDS-HISTORY","Story","Field history lifecycle","","EPIC-FIELDS","","As an admin, I want field history so that I can track crop changes.\nAcceptance: changing crop creates new row (active=true) and sets previous active=false; history page with timeline and filters.","8","High","Must","Frontend;Backend;Database","area:fields,history"
"SUB-FIELDS-HIST-FE","Sub-task","FE: history page","","","STORY-FIELDS-HISTORY","Implement (workspace)/fields/[id]/history timeline with filters, link from detail.","3","High","Must","Frontend","area:fields,fe"
"SUB-FIELDS-HIST-BE","Sub-task","BE: history endpoints","","","STORY-FIELDS-HISTORY","Add endpoints to fetch active vs historical field records by fieldId/farmId.","3","High","Must","Backend","area:fields,be"
"SUB-FIELDS-HIST-DB","Sub-task","DB: history semantics","","","STORY-FIELDS-HISTORY","Implement transactional update for crop change; ensure updatedAt and createdAt semantics; indexes verified.","1","High","Must","Database","area:fields,db"
"SUB-FIELDS-HIST-TEST","Sub-task","Tests: history","","","STORY-FIELDS-HISTORY","Unit for history creation; integration fetch; FE render tests.","1","Medium","Must","QA","area:fields,tests"

"STORY-FIELDS-WORKER-VIEW","Story","Worker read-only fields","","EPIC-FIELDS","","As a worker, I want to view only my assigned fields so that I focus on work.\nAcceptance: role-based filter; actions hidden; read-only detail.","3","Medium","Should","Frontend;Backend","area:fields,role:worker"
"SUB-FIELDS-WORKER-FE","Sub-task","FE: gating and filters","","","STORY-FIELDS-WORKER-VIEW","Hide admin actions; filter fields to assigned set in UI.","1","Medium","Should","Frontend","area:fields,fe"
"SUB-FIELDS-WORKER-BE","Sub-task","BE: scoped queries","","","STORY-FIELDS-WORKER-VIEW","Endpoints return only fields related to worker assignments.","1","Medium","Should","Backend","area:fields,be"

"STORY-TASKS-CRUD","Story","Task CRUD","","EPIC-TASKS","","As an admin, I want to manage tasks so that work progresses.\nAcceptance: create/read/update/delete; status transitions; priority; due date.","8","High","Must","Frontend;Backend;Database","area:tasks,role:admin"
"SUB-TASKS-CRUD-FE","Sub-task","FE: task forms","","","STORY-TASKS-CRUD","Create/Update/Delete task UI; list and detail; validations.","3","High","Must","Frontend","area:tasks,fe"
"SUB-TASKS-CRUD-BE","Sub-task","BE: /tasks CRUD","","","STORY-TASKS-CRUD","Implement routes/services for task CRUD with status rules.","3","High","Must","Backend","area:tasks,be"
"SUB-TASKS-CRUD-DB","Sub-task","DB: task indices","","","STORY-TASKS-CRUD","Ensure indices on status, dueDate, fieldId, farmId.","1","High","Must","Database","area:tasks,db"
"SUB-TASKS-CRUD-TEST","Sub-task","Tests: task CRUD","","","STORY-TASKS-CRUD","API + FE tests for creation and updates.","1","Medium","Must","QA","area:tasks,tests"

"STORY-TASKS-ASSIGN","Story","Assign multiple workers","","EPIC-TASKS","","As an admin, I want to assign multiple workers to a task so that work is shared.\nAcceptance: TaskAssignment junction; unique(worker,task); UI for multi-select.","5","High","Must","Frontend;Backend;Database","area:tasks,assignments"
"SUB-TASKS-ASSIGN-FE","Sub-task","FE: assignment UI","","","STORY-TASKS-ASSIGN","Add worker multi-select to task form; display assigned workers.","2","High","Must","Frontend","area:tasks,fe"
"SUB-TASKS-ASSIGN-BE","Sub-task","BE: assign route","","","STORY-TASKS-ASSIGN","POST /tasks/:id/assign to add/remove workers; enforce uniqueness.","2","High","Must","Backend","area:tasks,be"
"SUB-TASKS-ASSIGN-DB","Sub-task","DB: TaskAssignment","","","STORY-TASKS-ASSIGN","Create task_assignments model with unique(taskId,workerId).", "1","High","Must","Database","area:tasks,db"

"STORY-TASKS-COMPLETE","Story","Worker completes task","","EPIC-TASKS","","As a worker, I want to mark a task complete so that the admin is notified.\nAcceptance: completion modal with notes, attachments optional; status -> completed; notification sent.","5","Medium","Should","Frontend;Backend","area:tasks,role:worker"
"SUB-TASKS-COMPLETE-FE","Sub-task","FE: completion modal","","","STORY-TASKS-COMPLETE","Implement CompleteTaskModal with validation and feedback.","2","Medium","Should","Frontend","area:tasks,fe"
"SUB-TASKS-COMPLETE-BE","Sub-task","BE: complete route","","","STORY-TASKS-COMPLETE","POST /tasks/:id/complete with notes; transition rules; audit log.","2","Medium","Should","Backend","area:tasks,be"
"SUB-TASKS-COMPLETE-TEST","Sub-task","Tests: completion","","","STORY-TASKS-COMPLETE","API + FE tests for completion flow.","1","Medium","Should","QA","area:tasks,tests"

"STORY-WORKERS-INVITE","Story","Invite/add workers","","EPIC-WORKERS","","As an admin, I want to invite/add workers so that I can build a team.\nAcceptance: generate join code; add worker; list workers; deactivate.","8","High","Must","Frontend;Backend","area:workers,role:admin"
"SUB-WORKERS-INVITE-FE","Sub-task","FE: workers list + invite","","","STORY-WORKERS-INVITE","Workers list page; invite/join code UI; deactivate toggle.","3","High","Must","Frontend","area:workers,fe"
"SUB-WORKERS-INVITE-BE","Sub-task","BE: /workers endpoints","","","STORY-WORKERS-INVITE","CRUD endpoints for workers; generate/join code issuance; deactivate.","3","High","Must","Backend","area:workers,be"
"SUB-WORKERS-INVITE-TEST","Sub-task","Tests: workers mgmt","","","STORY-WORKERS-INVITE","API + FE tests for invite and deactivate.","1","Medium","Must","QA","area:workers,tests"

"STORY-NOTIFS-INAPP","Story","In-app notifications","","EPIC-NOTIFS","","As a user, I want notifications so that I don’t miss updates.\nAcceptance: list with read/unread; created on task assignment/status changes.","8","Medium","Should","Frontend;Backend","area:notifications"
"SUB-NOTIFS-FE","Sub-task","FE: notifications UI","","","STORY-NOTIFS-INAPP","Notifications page and bell dropdown; mark read/unread.","3","Medium","Should","Frontend","area:notifications,fe"
"SUB-NOTIFS-BE","Sub-task","BE: notifications service","","","STORY-NOTIFS-INAPP","Create Notification model usage; endpoints to list and update read state; emit on triggers.","3","Medium","Should","Backend","area:notifications,be"
"SUB-NOTIFS-TEST","Sub-task","Tests: notifications","","","STORY-NOTIFS-INAPP","API + FE tests for read/unread and triggers.","1","Low","Should","QA","area:notifications,tests"

